Name                                                                    | Base Price | Type
Fizzz Triple Berry                                                  | 3          | Miscellaneous/Drinks
Dak Galbi Chicken Burrito                                           | 17         | Miscellaneous/Foods
Chile Birria Burrito                                                | 15         | Miscellaneous/Foods
Pips A20                                                            | 3          | Miscellaneous/Drinks
Musaka Burrito                                                      | 16         | Miscellaneous/Foods
Karoby Energy Bar (Tahini & Carob)                                  | 5          | Miscellaneous/Foods
Karoby Energy Bar (Cranberry, Green Tea & Carob)                    | 5          | Miscellaneous/Foods
Get Up Coffee (Decaf)                                               | 3          | Miscellaneous/Drinks
Get Up Coffee (Black)                                               | 3          | Miscellaneous/Drinks
Get Up Coffee (Milk)                                                | 3          | Miscellaneous/Drinks
Flood Energy                                                        | 4          | Miscellaneous/Drinks
Ermer Family Farms Fat Free Ice Cream                               | 7          | Miscellaneous/Foods
Ermer Family Farms Coffee Ice Cream                                 | 9          | Miscellaneous/Foods
Ermer Family Farms Chocolate Ice Cream                              | 6          | Miscellaneous/Foods
Ermer Family Farms Chibanzoo Ice Cream                              | 9          | Miscellaneous/Foods
Dak Galbi Chicken Burrito                                           | 17         | Miscellaneous/Foods
Citrus Beef Burrito                                                 | 18         | Miscellaneous/Foods
Chile Birria Burrito                                                | 15         | Miscellaneous/Foods
Breakfast Dog                                                       | 16         | Miscellaneous/Foods
Fizzz Cola                                                          | 3          | Miscellaneous/Drinks
Chili Dog                                                           | 14         | Miscellaneous/Foods
Yakisoba Dog                                                        | 14         | Miscellaneous/Foods
Veggie Dog                                                          | 17         | Miscellaneous/Foods
Pips Energy T17                                                     | 3          | Miscellaneous/Drinks
Pips Q66                                                            | 3          | Miscellaneous/Drinks
Melty Dog                                                           | 15         | Miscellaneous/Foods
Fizzz Soursop                                                       | 4          | Miscellaneous/Drinks
Double Dog                                                          | 11         | Miscellaneous/Foods
Cruiser Dog                                                         | 12         | Miscellaneous/Foods
Classic Dog                                                         | 18         | Miscellaneous/Foods
Pips A20                                                            | 3          | Miscellaneous/Drinks
Berry Blend Smoothie                                                | 7          | Miscellaneous/Drinks
Vestal Water                                                        | 4          | Miscellaneous/Drinks
Fizzz Cola                                                          | 3          | Miscellaneous/Drinks
Vestal Water                                                        | 4          | Miscellaneous/Drinks
Carafi Noodles                                                      | 13         | Miscellaneous/Foods
Fizzz Triple Berry                                                  | 3          | Miscellaneous/Drinks
Vestal Water                                                        | 4          | Miscellaneous/Drinks
Synergy                                                             | 6          | Miscellaneous/Drinks
Synergy+                                                            | 7          | Miscellaneous/Drinks
MacFlex Arms Olive                                                  | 584        | Armor/Arms
Odyssey II Undersuit Black/Blue                                     | 1000       | Undersuits/Undersuits
FSK-8 Combat Knife                                                  | 1250       | Personal Weapons/Personal Weapons
Veil Flash Hider1                                                   | 200        | Personal Weapons/Attachments
LH86 Pistol Magazine (25 cap)                                       | 172        | Personal Weapons/Attachments
Gallant Rifle Battery (45 cap)                                      | 391        | Personal Weapons/Attachments
Venture Helmet Black                                                | 1705       | Armor/Helmets
MacFlex Core Red                                                    | 1780       | Armor/Torso
P8-SC "Warhawk" SMG                                                 | 3356       | Personal Weapons/Personal Weapons
Horizon Helmet Blue                                                 | 1602       | Armor/Helmets
Beacon Undersuit Dark Grey                                          | 1000       | Undersuits/Undersuits
MacFlex Core Tan                                                    | 1780       | Armor/Torso
Venture Arms Dark Red                                               | 586        | Armor/Arms
Morozov-SH Arms Terracotta                                          | 2639       | Armor/Arms
Arclight Pistol                                                     | 1069       | Personal Weapons/Personal Weapons
PAB-1 Arms                                                          | 584        | Armor/Arms
Odyssey II Helmet Tan                                               | 1290       | Armor/Helmets
Prism Laser Shotgun Battery (20 cap)                                | 248        | Personal Weapons/Attachments
Field Recon Suit Core                                               | 1780       | Armor/Torso
Horizon Helmet Orange                                               | 1602       | Armor/Helmets
MacFlex Legs Black                                                  | 1089       | Armor/Legs
Calico Helmet Desert                                                | 1259       | Armor/Helmets
TrueDef-Pro Legs White/Silver/Grey                                  | 1035       | Armor/Legs
ForceFlex Undersuit Autumn Camo                                     | 1000       | Undersuits/Undersuits
TrueDef-Pro Core White/Silver/Grey                                  | 2324       | Armor/Torso
Deadrig Shotgun Magazine (8 cap)                                    | 525        | Personal Weapons/Attachments
DustUp Arms Tactical                                                | 913        | Armor/Arms
Lumin V SMG Battery (45 cap)                                        | 400        | Personal Weapons/Attachments
Venture Arms Imperial                                               | 586        | Armor/Arms
S-38 Pistol                                                         | 975        | Personal Weapons/Personal Weapons
P4-AR Magazine (40 cap)                                             | 216        | Personal Weapons/Attachments
S71 Rifle Magazine (30 cap)                                         | 294        | Personal Weapons/Attachments
Venture Undersuit Black/Aqua                                        | 1000       | Undersuits/Undersuits
Animus Missile Launcher Magazine (3 cap)                            | 5130       | Personal Weapons/Attachments
P4-AR "Boneyard" Rifle                                              | 4925       | Personal Weapons/Personal Weapons
Arclight "Desert Shadow" Pistol                                     | 1069       | Personal Weapons/Personal Weapons
Delta (1x Reflex)                                                   | 400        | Personal Weapons/Attachments
Morozov-SH Core                                                     | 9500       | Armor/Torso
ForceFlex Undersuit Blue/Black/Tan                                  | 1000       | Undersuits/Undersuits
TrueDef-Pro Legs Black/Silver/Blue                                  | 1035       | Armor/Legs
Argus Helmet Gold/Grey/Black                                        | 1472       | Armor/Helmets
Custodian SMG Magazine (60 cap)                                     | 343        | Personal Weapons/Attachments
Ravager-212 Twin Shotgun Magazine (16 cap)                          | 562        | Personal Weapons/Attachments
PAB-1 Legs                                                          | 1046       | Armor/Legs
MacFlex Backpack Grey                                               | 1320       | Armor/Backpacks
Lynx Arms Embark                                                    | 470        | Armor/Arms
BR-2 Shotgun Magazine (12 cap)                                      | 250        | Personal Weapons/Attachments
TrueDef-Pro Arms Gold/Grey/Black                                    | 586        | Armor/Arms
CBH-3 Helmet Base                                                   | 1626       | Armor/Helmets
Ravager-212 Twin Shotgun                                            | 4462       | Personal Weapons/Personal Weapons
Parallax Rifle Battery (80 Cap)                                     | 721        | Personal Weapons/Attachments
Lynx Core Abyss                                                     | 1456       | Armor/Torso
C54 SMG Magazine (50 cap)                                           | 250        | Personal Weapons/Attachments
Calico Legs Desert                                                  | 914        | Armor/Legs
Venture Helmet Violet                                               | 1705       | Armor/Helmets
MK-4 Frag Grenade                                                   | 302        | Personal Weapons/Personal Weapons
Lynx Arms                                                           | 470        | Armor/Arms
Venture Undersuit Green/Black                                       | 1000       | Undersuits/Undersuits
Calico Core Desert                                                  | 1514       | Armor/Torso
Odyssey II Undersuit Green/Black                                    | 1000       | Undersuits/Undersuits
Argus Helmet Black/Grey/Red                                         | 1472       | Armor/Helmets
Horizon Helmet Black                                                | 1602       | Armor/Helmets
OxyPen                                                              | 260        | Miscellaneous/Consumables
Oracle Helmet                                                       | 1200       | Armor/Helmets
Venture Arms Red                                                    | 586        | Armor/Arms
TrueDef-Pro Core Black/Grey                                         | 2324       | Armor/Torso
Stoneskin Helmet Tactical                                           | 1290       | Armor/Helmets
Horizon Helmet Tan                                                  | 1602       | Armor/Helmets
Beacon Undersuit Twilight                                           | 1000       | Undersuits/Undersuits
MacFlex Backpack Canary Yellow                                      | 1320       | Armor/Backpacks
TrueDef-Pro Legs Black/Grey/Red                                     | 1035       | Armor/Legs
TrueDef-Pro Legs Black/Gold/Silver                                  | 1035       | Armor/Legs
Argus Helmet Black/Silver/Yellow                                    | 1472       | Armor/Helmets
Arrowhead Sniper Rifle Battery (16 cap)                             | 514        | Personal Weapons/Attachments
Veil Flash Hider3                                                   | 350        | Personal Weapons/Attachments
DustUp Helmet Tactical                                              | 2813       | Armor/Helmets
Stoneskin Undersuit                                                 | 1000       | Undersuits/Undersuits
MacFlex Legs Seagreen                                               | 1089       | Armor/Legs
Argus Helmet Aqua/Black                                             | 1472       | Armor/Helmets
Venture Arms Grey                                                   | 586        | Armor/Arms
Field Recon Suit Arms                                               | 579        | Armor/Arms
Venture Legs                                                        | 1168       | Armor/Legs
Lynx Core Embark                                                    | 1456       | Armor/Torso
Pink QuikFlare                                                      | 23         | Personal Weapons/Personal Weapons
Venture Undersuit Yellow                                            | 1000       | Undersuits/Undersuits
Beacon Undersuit Orange                                             | 1000       | Undersuits/Undersuits
TrueDef-Pro Core Black/Pink/Purple                                  | 2324       | Armor/Torso
Field Recon Suit Helmet                                             | 1589       | Armor/Helmets
MedPen (Hemozal)                                                    | 265        | Miscellaneous/Consumables
TrueDef-Pro Core Black/Silver/Blue                                  | 2324       | Armor/Torso
Renegade Helmet Desert                                              | 1375       | Armor/Helmets
Odyssey II Helmet Green                                             | 1290       | Armor/Helmets
Morozov-SH Legs                                                     | 4300       | Armor/Legs
Venture Core Imperial                                               | 1780       | Armor/Torso
Atzkav Sniper Rifle Battery (8 cap)                                 | 475        | Personal Weapons/Attachments
Quartz Energy SMG Battery (50 cap)                                  | 313        | Personal Weapons/Attachments
Devastator Shotgun Battery (12 cap)                                 | 465        | Personal Weapons/Attachments
ForceFlex Undersuit Forest Digi                                     | 1000       | Undersuits/Undersuits
Beacon Undersuit Woodland                                           | 1000       | Undersuits/Undersuits
Morozov-SH Legs Terracotta                                          | 4393       | Armor/Legs
Beacon Undersuit Pink/White                                         | 1000       | Undersuits/Undersuits
TrueDef-Pro Core Red/Silver                                         | 2324       | Armor/Torso
Oracle Helmet Embark                                                | 1290       | Armor/Helmets
Gallant Rifle                                                       | 5000       | Personal Weapons/Personal Weapons
TrueDef-Pro Legs Black/Silver (01_01_15)                            | 1035       | Armor/Legs
S-38 Magazine (20 cap)                                              | 150        | Personal Weapons/Attachments
Venture Legs White                                                  | 1168       | Armor/Legs
Venture Arms Aqua                                                   | 586        | Armor/Arms
P8-SC SMG Magazine (45 cap)                                         | 323        | Personal Weapons/Attachments
Coda Pistol Magazine (6 cap)                                        | 123        | Personal Weapons/Attachments
Karna Rifle Battery (35 cap)                                        | 245        | Personal Weapons/Attachments
Fresnel Energy LMG Battery (165 Cap)                                | 941        | Personal Weapons/Attachments
Morozov-SH Helmet (01_01_01)                                        | 7900       | Armor/Helmets
Morozov-CH Backpack Terracotta                                      | 2400       | Armor/Backpacks
Venture Core Yellow                                                 | 1780       | Armor/Torso
Calico Arms Desert                                                  | 501        | Armor/Arms
TrueDef-Pro Core Aqua/Black                                         | 2324       | Armor/Torso
Odyssey II Helmet Orange                                            | 1290       | Armor/Helmets
Venture Legs Orange                                                 | 1168       | Armor/Legs
Venture Legs Black                                                  | 1168       | Armor/Legs
Odyssey II Helmet Blue                                              | 1290       | Armor/Helmets
Yubarev Pistol Battery (10 cap)                                     | 150        | Personal Weapons/Attachments
Odyssey II Helmet Yellow                                            | 1290       | Armor/Helmets
TrueDef-Pro Arms Black/Silver/Blue                                  | 586        | Armor/Arms
Venture Undersuit Orange/Black                                      | 1000       | Undersuits/Undersuits
Morozov-SH Helmet Terracotta                                        | 7952       | Armor/Helmets
TrueDef-Pro Core Black/Silver/Green                                 | 2324       | Armor/Torso
TrueDef-Pro Legs Black/Silver (01_01_11)                            | 1000       | Armor/Legs
Salvo Frag Pistol Magazine (8 cap)                                  | 75         | Personal Weapons/Attachments
MacFlex Arms Imperial                                               | 584        | Armor/Arms
P6-LR Magazine (8 cap)                                              | 450        | Personal Weapons/Attachments
R97 Shotgun Magazine (18 cap)                                       | 514        | Personal Weapons/Attachments
FS-9 Magazine (75 cap)                                              | 525        | Personal Weapons/Attachments
Demeco LMG Battery (100 cap)                                        | 520        | Personal Weapons/Attachments
TrueDef-Pro Core Yellow/Black                                       | 2324       | Armor/Torso
Lynx Legs Embark                                                    | 830        | Armor/Legs
Venture Core Purple                                                 | 1780       | Armor/Torso
Pulse Laser Pistol Battery (60 Cap)                                 | 75         | Personal Weapons/Attachments
Venture Helmet Dark Green                                           | 1705       | Armor/Helmets
Beacon Undersuit                                                    | 1000       | Undersuits/Undersuits
Coda Pistol                                                         | 940        | Personal Weapons/Personal Weapons
Horizon Helmet Dark Red                                             | 1602       | Armor/Helmets
MacFlex Legs Grey                                                   | 1089       | Armor/Legs
MacFlex Arms Tan                                                    | 584        | Armor/Arms
Lynx Legs                                                           | 830        | Armor/Legs
ForceFlex Undersuit DigiCamo                                        | 1000       | Undersuits/Undersuits
Venture Legs Aqua                                                   | 1168       | Armor/Legs
Odyssey II Undersuit Woodland                                       | 1000       | Undersuits/Undersuits
A03 Sniper Rifle Magazine (15 cap)                                  | 400        | Personal Weapons/Attachments
Stoneskin Agra Undersuit                                            | 1000       | Undersuits/Undersuits
Venture Core Tan                                                    | 1780       | Armor/Torso
MacFlex Legs Orange                                                 | 1089       | Armor/Legs
Odyssey II Undersuit Sunset                                         | 1000       | Undersuits/Undersuits
Morozov-SH Core Terracotta                                          | 9587       | Armor/Torso
Morozov-CH Backpack                                                 | 2400       | Armor/Backpacks
Venture Arms Sienna                                                 | 586        | Armor/Arms
Venture Legs Red                                                    | 1168       | Armor/Legs
Argus Helmet Black/White/Violet                                     | 1472       | Armor/Helmets
MacFlex Core Sienna                                                 | 1780       | Armor/Torso
Field Recon Suit Legs                                               | 536        | Armor/Legs
PAB-1 Core                                                          | 1500       | Armor/Torso
CSP-68L Backpack                                                    | 1450       | Armor/Backpacks
DustUp Core Tactical                                                | 3647       | Armor/Torso
Beacon Undersuit Orange/Black                                       | 1000       | Undersuits/Undersuits
Stoneskin Helmet Desert                                             | 1290       | Armor/Helmets
DustUp Legs Tactical                                                | 1216       | Armor/Legs
TCS-4 Undersuit                                                     | 1000       | Undersuits/Undersuits
Venture Legs Yellow                                                 | 1168       | Armor/Legs
Scalpel Sniper Rifle Magazine (12 cap)                              | 611        | Personal Weapons/Attachments
Morozov-SH Arms (01_01_01)                                          | 2600       | Armor/Arms
F55 LMG Magazine (150 cap)                                          | 856        | Personal Weapons/Attachments
WowBlast Desperado Toy Pistol Magazine (10 cap)                     | 5          | Personal Weapons/Attachments
Venture Core                                                        | 1780       | Armor/Torso
P8-AR Rifle Magazine (15 Cap)                                       | 150        | Personal Weapons/Attachments
TrueDef-Pro Arms Silver/Gold/Grey                                   | 586        | Armor/Arms
MacFlex Core Aqua                                                   | 1780       | Armor/Torso
MacFlex Arms White                                                  | 584        | Armor/Arms
Tacit Suppressor2                                                   | 450        | Personal Weapons/Attachments
Arclight Pistol Battery (30 cap)                                    | 269        | Personal Weapons/Attachments
Horizon Helmet Olive                                                | 1602       | Armor/Helmets
Venture Helmet Tan                                                  | 1705       | Armor/Helmets
Gamma (1x Holographic)                                              | 400        | Personal Weapons/Attachments
Emod Stabilizer2                                                    | 450        | Personal Weapons/Attachments
MacFlex Legs Purple                                                 | 1089       | Armor/Legs
Venture Arms Seagreen                                               | 586        | Armor/Arms
TrueDef-Pro Arms Black/Silver/Green                                 | 586        | Armor/Arms
Venture Core Red                                                    | 1780       | Armor/Torso
MacFlex Core                                                        | 1700       | Armor/Torso
MacFlex Core Purple                                                 | 1780       | Armor/Torso
ForceFlex Undersuit Arctic Camo                                     | 1000       | Undersuits/Undersuits
Sion Compensator3                                                   | 525        | Personal Weapons/Attachments
Zenith Laser Sniper Rifle Battery (22 Cap)                          | 347        | Personal Weapons/Attachments
Horizon Helmet Yellow                                               | 1602       | Armor/Helmets
ForceFlex Undersuit Black/Purple                                    | 1000       | Undersuits/Undersuits
TrueDef-Pro Legs Black/Pink/Purple                                  | 1035       | Armor/Legs
ForceFlex Undersuit Purple/Gold                                     | 1000       | Undersuits/Undersuits
MacFlex Core Orange                                                 | 1780       | Armor/Torso
Venture Helmet Blue                                                 | 1705       | Armor/Helmets
Veil Flash Hider1                                                   | 200        | Personal Weapons/Attachments
LH86 Pistol Magazine (25 cap)                                       | 175        | Personal Weapons/Attachments
Gallant Rifle Battery (45 cap)                                      | 399        | Personal Weapons/Attachments
Emod Stabilizer1                                                    | 300        | Personal Weapons/Attachments
Prism Laser Shotgun Battery (20 cap)                                | 248        | Personal Weapons/Attachments
Deadrig Shotgun Magazine (8 cap)                                    | 525        | Personal Weapons/Attachments
Lumin V SMG Battery (45 cap)                                        | 400        | Personal Weapons/Attachments
P4-AR Magazine (40 cap)                                             | 200        | Personal Weapons/Attachments
S71 Rifle Magazine (30 cap)                                         | 299        | Personal Weapons/Attachments
Animus Missile Launcher Magazine (3 cap)                            | 5130       | Personal Weapons/Attachments
Custodian SMG Magazine (60 cap)                                     | 349        | Personal Weapons/Attachments
Ravager-212 Twin Shotgun Magazine (16 cap)                          | 573        | Personal Weapons/Attachments
Gallant "Warhawk" Rifle                                             | 5098       | Personal Weapons/Personal Weapons
BR-2 Shotgun Magazine (12 cap)                                      | 250        | Personal Weapons/Attachments
Parallax Rifle Battery (80 Cap)                                     | 721        | Personal Weapons/Attachments
C54 SMG Magazine (50 cap)                                           | 250        | Personal Weapons/Attachments
MK-4 Frag Grenade                                                   | 280        | Personal Weapons/Personal Weapons
OxyPen                                                              | 274        | Miscellaneous/Consumables
Arrowhead Sniper Rifle Battery (16 cap)                             | 524        | Personal Weapons/Attachments
BR-2 Shotgun                                                        | 4996       | Personal Weapons/Personal Weapons
ReadyMeal (Beef Chunks)                                             | 14         | Miscellaneous/Foods
CRUZ Lux                                                            | 7          | Miscellaneous/Drinks
Pink QuikFlare                                                      | 23         | Personal Weapons/Personal Weapons
MedPen (Hemozal)                                                    | 279        | Miscellaneous/Consumables
Atzkav Sniper Rifle Battery (8 cap)                                 | 475        | Personal Weapons/Attachments
Quartz Energy SMG Battery (50 cap)                                  | 313        | Personal Weapons/Attachments
Devastator Shotgun Battery (12 cap)                                 | 474        | Personal Weapons/Attachments
Gallant Rifle                                                       | 5098       | Personal Weapons/Personal Weapons
Gallant "Nightstalker" Rifle                                        | 5098       | Personal Weapons/Personal Weapons
S-38 Magazine (20 cap)                                              | 150        | Personal Weapons/Attachments
P8-SC SMG Magazine (45 cap)                                         | 300        | Personal Weapons/Attachments
Coda Pistol Magazine (6 cap)                                        | 125        | Personal Weapons/Attachments
Karna Rifle Battery (35 cap)                                        | 250        | Personal Weapons/Attachments
Fresnel Energy LMG Battery (165 Cap)                                | 941        | Personal Weapons/Attachments
Scourge Railgun Magazine (5 cap)                                    | 6279       | Personal Weapons/Attachments
Yubarev Pistol Battery (10 cap)                                     | 150        | Personal Weapons/Attachments
P8-SC "Boneyard" SMG                                                | 3119       | Personal Weapons/Personal Weapons
Gamma Duo (2x Holographic)                                          | 700        | Personal Weapons/Attachments
Salvo Frag Pistol Magazine (8 cap)                                  | 75         | Personal Weapons/Attachments
P6-LR Magazine (8 cap)                                              | 450        | Personal Weapons/Attachments
R97 Shotgun Magazine (18 cap)                                       | 524        | Personal Weapons/Attachments
FS-9 Magazine (75 cap)                                              | 525        | Personal Weapons/Attachments
Demeco LMG Battery (100 cap)                                        | 520        | Personal Weapons/Attachments
Pulse Laser Pistol Battery (60 Cap)                                 | 75         | Personal Weapons/Attachments
Coda Pistol                                                         | 940        | Personal Weapons/Personal Weapons
A03 Sniper Rifle Magazine (15 cap)                                  | 400        | Personal Weapons/Attachments
Arclight "Stormfall" Pistol                                         | 1091       | Personal Weapons/Personal Weapons
Tacit Suppressor3                                                   | 525        | Personal Weapons/Attachments
Scalpel Sniper Rifle Magazine (12 cap)                              | 623        | Personal Weapons/Attachments
ReadyMeal (Vegetarian)                                              | 18         | Miscellaneous/Foods
F55 LMG Magazine (150 cap)                                          | 872        | Personal Weapons/Attachments
WowBlast Desperado Toy Pistol Magazine (10 cap)                     | 5          | Personal Weapons/Attachments
Emod Stabilizer3                                                    | 525        | Personal Weapons/Attachments
P8-AR Rifle Magazine (15 Cap)                                       | 150        | Personal Weapons/Attachments
Tacit Suppressor2                                                   | 450        | Personal Weapons/Attachments
Arclight Pistol Battery (30 cap)                                    | 275        | Personal Weapons/Attachments
Gamma (1x Holographic)                                              | 400        | Personal Weapons/Attachments
Zenith Laser Sniper Rifle Battery (22 Cap)                          | 347        | Personal Weapons/Attachments
P8-SC "Stormfall" SMG                                               | 3119       | Personal Weapons/Personal Weapons
TruHold Tractor Beam Attachment                                     | 450        | Personal Weapons/Attachments
Eos                                                                 | 23934      | Systems/Quantum Drives
RPEL                                                                | 27000      | Systems/Shield Generators
Yaluk                                                               | 47880      | Systems/Quantum Drives
ARMOR                                                               | 81000      | Systems/Shield Generators
Hemera                                                              | 79800      | Systems/Quantum Drives
StarHeart                                                           | 63038      | Systems/Power Plants
Stor*All 1 SCU Self-Storage Container                               | 2100       | Utility/Containers
Expedition                                                          | 22680      | Systems/Quantum Drives
FrostBurn                                                           | 34560      | Systems/Coolers
IonSurge                                                            | 59400      | Systems/Power Plants
CoolCore                                                            | 21890      | Systems/Coolers
VariPuck S6 Gimbal Mount                                            | 21000      | Vehicle Weapons/Turrets
Cambio-Lite SRT Canister                                            | 275        | Personal Weapons/Attachments
Bulwark                                                             | 22854      | Systems/Shield Generators
Bolon                                                               | 57455      | Systems/Quantum Drives
VariPuck S2 Gimbal Mount                                            | 1900       | Vehicle Weapons/Turrets
VariPuck S1 Gimbal Mount                                            | 990        | Vehicle Weapons/Turrets
Cinch Scraper Module                                                | 11150      | Utility/Scraper Beams
HydroJet                                                            | 18240      | Systems/Coolers
GUARD                                                               | 64800      | Systems/Shield Generators
Cambio SRT Canister                                                 | 175        | Personal Weapons/Attachments
RN-7s                                                               | 16650      | Utility/Docking Collars
5MA 'Chimalli'                                                      | 34191      | Systems/Shield Generators
Ginzel                                                              | 120385     | Systems/Power Plants
Abrade Scraper Module                                               | 21250      | Utility/Scraper Beams
Cambio-Lite SRT Attachment                                          | 375        | Personal Weapons/Attachments
VariPuck S5 Gimbal Mount                                            | 11000      | Vehicle Weapons/Turrets
GSX-RF                                                              | 52500      | Utility/External Fuel Tanks
Hydrocel                                                            | 9120       | Systems/Coolers
Citadel                                                             | 51300      | Systems/Shield Generators
Norfield                                                            | 11250      | Utility/Docking Collars
ColdSnap                                                            | 17280      | Systems/Coolers
Cambio SRT                                                          | 20900      | Personal Weapons/Personal Weapons
Thermax                                                             | 10945      | Systems/Coolers
Sedulity                                                            | 75240      | Systems/Power Plants
Cambio-Lite SRT Canister (Filled)                                   | 275        | Personal Weapons/Attachments
SparkJet                                                            | 39600      | Systems/Power Plants
BLOC                                                                | 40500      | Systems/Shield Generators
ReadyGrip Tractor Module                                            | 11150      | Utility/Scraper Beams
ZapJet                                                              | 19800      | Systems/Power Plants
Stor*All 2 SCU Self-Storage Container                               | 4250       | Utility/Containers
GEO Resource Pod                                                    | 1250       | Utility/Containers
ArcticStorm                                                         | 8640       | Systems/Coolers
CR-60                                                               | 78600      | Utility/External Fuel Tanks
Quest                                                               | 37800      | Systems/Quantum Drives
Colossus                                                            | 35910      | Systems/Quantum Drives
VariPuck S4 Gimbal Mount                                            | 6400       | Vehicle Weapons/Turrets
ThermalCore                                                         | 43775      | Systems/Coolers
Fizzz Cola                                                          | 3          | Miscellaneous/Drinks
Citrus Beef Burrito                                                 | 18         | Miscellaneous/Foods
Fizzz Muscat                                                        | 4          | Miscellaneous/Drinks
Musaka Burrito                                                      | 16         | Miscellaneous/Foods
Vestal Water                                                        | 4          | Miscellaneous/Drinks
Pips Energy T17                                                     | 3          | Miscellaneous/Drinks
Pips Q66                                                            | 3          | Miscellaneous/Drinks
Fizzz Triple Berry                                                  | 3          | Miscellaneous/Drinks
Dak Galbi Chicken Burrito                                           | 17         | Miscellaneous/Foods
Chile Birria Burrito                                                | 15         | Miscellaneous/Foods
Pips A20                                                            | 3          | Miscellaneous/Drinks

Stanton - CRU-L1 - Hangars&Habs - Medical Clinic - Pharmacy

LifeGuard Refill                                                    | 125        | Personal Weapons/Attachments
CorticoPen (Sterogen)                                               | 295        | Miscellaneous/Consumables
ParaMed Medical Device                                              | 1500       | Personal Weapons/Personal Weapons
OxyPen                                                              | 260        | Miscellaneous/Consumables
LifeGuard Medical Attachment                                        | 350        | Personal Weapons/Attachments
DetoxPen (Resurgera)                                                | 240        | Miscellaneous/Consumables
MedPen (Hemozal)                                                    | 265        | Miscellaneous/Consumables
AdrenaPen (Demexatrine)                                             | 260        | Miscellaneous/Consumables
DeconPen (Canoiodide)                                               | 260        | Miscellaneous/Consumables
OpioPen (Roxaphen)                                                  | 240        | Miscellaneous/Consumables
ParaMed Refill                                                      | 250        | Personal Weapons/Attachments
Greycat ROC                                                         | 2598       | Vehicle/Vehicle
Drake Cutlass Black                                                 | 52920      | Vehicle/Vehicle
Argo MOLE                                                           | 223256     | Vehicle/Vehicle
MISC Prospector                                                     | 73237      | Vehicle/Vehicle

Stanton - CRU-L1 - Refinery - Service - Mining support center - Refinery Shop

Cordimon Jacket Red                                                 | 1275       | Clothing/Jackets
TruHold Tractor Beam Attachment                                     | 450        | Personal Weapons/Attachments
Landlite Boots Red                                                  | 235        | Clothing/Footwear
Cal-O-Meal "Chocolate Deluxe" Protein Bar                           | 4          | Miscellaneous/Foods
Cordimon Jacket Twilight                                            | 1275       | Clothing/Jackets
BoreMax                                                             | 12750      | Utility/Gadgets
Hofstede-S1 Mining Laser                                            | 12750      | Utility/Mining Laser Heads
Arbor MHV Mining Laser                                              | 5150       | Utility/Mining Laser Heads
Landlite Boots Black                                                | 235        | Clothing/Footwear
Hardline Hard Hat White/Blue                                        | 325        | Clothing/Hats
Aril Backpack Hazard                                                | 1900       | Armor/Backpacks
Davin Work Gloves Twilight                                          | 180        | Clothing/Gloves
Davin Work Gloves Red                                               | 180        | Clothing/Gloves
MacFlex Legs                                                        | 1089       | Armor/Legs
ClipVest Work Harness Grey                                          | 1325       | Clothing/Jackets
Brandt Module                                                       | 2250       | Utility/Mining Modules
Clempt Pants Black                                                  | 510        | Clothing/Legwear
Hardline Hard Hat Black                                             | 325        | Clothing/Hats
GSX-HP                                                              | 115200     | Utility/External Fuel Tanks
OptiMax                                                             | 27625      | Utility/Gadgets
Stampede Module                                                     | 1400       | Utility/Mining Modules
S00 Hofstede                                                        | 5750       | Utility/Mining Laser Heads
ViseLock S3 Tractor Beam                                            | 24400      | Utility/Tractor Beams
Clempt Pants mT Edition                                             | 510        | Clothing/Legwear
Toughlife Boots Olive                                               | 245        | Clothing/Footwear
Clempt Pants                                                        | 510        | Clothing/Legwear
Gauntlet Gloves                                                     | 160        | Clothing/Gloves
Ready-Up Helmet Orange                                              | 270        | Clothing/Hats
Clempt Pants Orange                                                 | 510        | Clothing/Legwear
Landlite Boots Grey                                                 | 235        | Clothing/Footwear
SureGrip PR-S3 Tractor Beam                                         | 24400      | Utility/Tractor Beams
MaxLift Tractor Beam                                                | 19175      | Personal Weapons/Personal Weapons
Day One Shirt Dark Green                                            | 570        | Clothing/Shirts
WorkLife Pants Black                                                | 420        | Clothing/Legwear
Day One Shirt Red                                                   | 570        | Clothing/Shirts
Rieger-C3 Module                                                    | 60000      | Utility/Mining Modules
Impact II Mining Laser                                              | 57750      | Utility/Mining Laser Heads
Kino Shoes Orange                                                   | 410        | Clothing/Footwear
WorkLife Pants Tan                                                  | 420        | Clothing/Legwear
SureGrip S1 Tractor Beam                                            | 4600       | Utility/Tractor Beams
SureGrip HV-S1 Tractor Beam                                         | 4600       | Utility/Tractor Beams
ClipVest Work Harness Red                                           | 1325       | Clothing/Jackets
Edgewear Pants Black                                                | 465        | Clothing/Legwear
XTR Module                                                          | 2000       | Utility/Mining Modules
IndVest Jacket Red                                                  | 1485       | Clothing/Jackets
Pyro RYT Multi-Tool                                                 | 485        | Personal Weapons/Personal Weapons
SureGrip HV-S2 Tractor Beam                                         | 12200      | Utility/Tractor Beams
Helix II Mining Laser                                               | 108000     | Utility/Mining Laser Heads
Landlite Boots Olive                                                | 235        | Clothing/Footwear
SureGrip HV-S3 Tractor Beam                                         | 24400      | Utility/Tractor Beams
Cordimon Jacket Olive                                               | 1275       | Clothing/Jackets
IndVest Jacket Black                                                | 1485       | Clothing/Jackets
