=== FPS ARMOR ===

=== HELMETS ===
Name                                               | Type            | Damage reduction | Min temp (°C) | Max temp (°C) | Radiation Resistnace (REM) | Radiation Scrub Rate (REM/s) | Capacity (μSCU) | Volume (μSCU) | Image
Artisan Apron Kel-To                            | 10            | 29            | 0                          | 0                            | Full                 | 1000            | 14335         |      
Artisan Apron Whammer's                         | 10            | 29            | 0                          | 0                            | Full                 | 1000            | 14335         |      
ASD Bomber Jacket                               | 2             | 30            | 0                          | 0                            | Full                 | 2000            | 8700          |      
Ati Jacket                                      | 1             | 30            | 0                          | 0                            | Limited              | 2000            | 8700          |      
Ati Jacket Aqua                                 | 1             | 30            | 0                          | 0                            | Full                 | 2000            | 8700          |      
Ati Jacket Black                                | 1             | 30            | 0                          | 0                            | Full                 | 2000            | 8700          |      
Ati Jacket Blue                                 | 1             | 30            | 0                          | 0                            | Full                 | 2000            | 8700          |      
Ati Jacket Dark Green                           | 1             | 30            | 0                          | 0                            | Full                 | 2000            | 8700          |      
Ati Jacket Dark Red                             | 1             | 30            | 0                          | 0                            | Full                 | 2000            | 8700          |      
Ati Jacket Green                                | 1             | 30            | 0                          | 0                            | Full                 | 2000            | 8700          |      
Ati Jacket Grey                                 | 1             | 30            | 0                          | 0                            | Full                 | 2000            | 8700          |      
Ati Jacket Imperial                             | 1             | 30            | 0                          | 0                            | Full                 | 2000            | 8700          |      
Ati Jacket Olive                                | 1             | 30            | 0                          | 0                            | Full                 | 2000            | 8700          |      
Ati Jacket Orange                               | 1             | 30            | 0                          | 0                            | Full                 | 2000            | 8700          |      
Ati Jacket Purple                               | 1             | 30            | 0                          | 0                            | Full                 | 2000            | 8700          |      
Ati Jacket Red                                  | 1             | 30            | 0                          | 0                            | Full                 | 2000            | 8700          |      
Ati Jacket Seagreen                             | 1             | 30            | 0                          | 0                            | Full                 | 2000            | 8700          |      
Ati Jacket Sienna                               | 1             | 30            | 0                          | 0                            | Full                 | 2000            | 8700          |      
Ati Jacket Tan                                  | 1             | 30            | 0                          | 0                            | Full                 | 2000            | 8700          |      
Ati Jacket Twilight                             | 1             | 30            | 0                          | 0                            | Full                 | 2000            | 8700          |      
Ati Jacket Violet                               | 1             | 30            | 0                          | 0                            | Full                 | 2000            | 8700          |      
Ati Jacket White                                | 1             | 30            | 0                          | 0                            | Full                 | 2000            | 8700          |      
Ati Jacket Yellow                               | 1             | 30            | 0                          | 0                            | Full                 | 2000            | 8700          |      
Auditor Shirt Covalex Edition                   | 2             | 33            | 0                          | 0                            | Limited              | 1000            | 8700          |      
Auditor Shirt Crusader Edition                  | 2             | 33            | 0                          | 0                            | Full                 | 1000            | 8700          |      
Brocius Waist Apron                             | -10           | 25            | 0                          | 0                            | Full                 | 400             | 8700          |      
Brocius Waist Apron Cloudcover                  | -10           | 25            | 0                          | 0                            | Full                 | 400             | 8700          |      
Brocius Waist Apron Daylight                    | -10           | 25            | 0                          | 0                            | Full                 | 400             | 8700          |      
Brocius Waist Apron Finch                       | -10           | 25            | 0                          | 0                            | Full                 | 400             | 8700          |      
Brocius Waist Apron Stonewall                   | -10           | 25            | 0                          | 0                            | Full                 | 400             | 8700          |      
Calister Jacket                                 | -5            | 25            | 0                          | 0                            | Full                 | 1000            | 8700          |      
Calister Jacket Armadillo                       | -5            | 25            | 0                          | 0                            | Full                 | 1000            | 8700          |      
Calister Jacket Shuttle Gray                    | -5            | 25            | 0                          | 0                            | Full                 | 1000            | 8700          |      
Calister Jacket Tosca                           | -5            | 25            | 0                          | 0                            | Full                 | 1000            | 8700          |      
Calister Jacket Westar                          | -5            | 25            | 0                          | 0                            | Full                 | 1000            | 8700          |      
Camion Jacket (12_01_01)                        | -8            | 28            | 0                          | 0                            | Full                 | 10000           | 8700          |      
Camion Jacket (12_01_011)                       | -8            | 28            | 0                          | 0                            | Full                 | 10000           | 8700          |      
Camion Jacket (12_01_05)                        | -8            | 28            | 0                          | 0                            | Full                 | 10000           | 8700          |      
Camion Jacket (12_01_07)                        | -8            | 28            | 0                          | 0                            | Full                 | 10000           | 8700          |      
Camion Jacket (12_01_20)                        | -8            | 28            | 0                          | 0                            | Full                 | 10000           | 8700          |      
Carbide Jacket                                  | -10           | 20            | 0                          | 0                            | Full                 | 5000            | 8700          |      
Carbide Jacket Bramble                          | -10           | 20            | 0                          | 0                            | Full                 | 5000            | 8700          |      
Carbide Jacket Buckthorn                        | -10           | 20            | 0                          | 0                            | Full                 | 5000            | 8700          |      
Carbide Jacket Outback                          | -10           | 20            | 0                          | 0                            | Full                 | 5000            | 8700          |      
Carbide Jacket Sandpiper                        | -10           | 20            | 0                          | 0                            | Full                 | 5000            | 8700          |      
Cardona Jacket Blue                             | -10           | 20            | 0                          | 0                            | Full                 | 1000            | 8700          |      
Cardona Jacket Carmine                          | -10           | 20            | 0                          | 0                            | Full                 | 1000            | 8700          |      
Cardona Jacket Iron                             | -10           | 20            | 0                          | 0                            | Full                 | 1000            | 8700          |      
Cardona Jacket Sand                             | -10           | 20            | 0                          | 0                            | Full                 | 1000            | 8700          |      
Cardona Jacket Yellow                           | -10           | 20            | 0                          | 0                            | Full                 | 1000            | 8700          |      
Carragio Jacket Charcoal                        | 2             | 30            | 0                          | 0                            | Limited              | 1000            | 8700          |      
Carragio Jacket Grey                            | 2             | 30            | 0                          | 0                            | Limited              | 1000            | 8700          |      
Castillo Jacket Fog                             | 3             | 33            | 0                          | 0                            | Limited              | 1000            | 8700          |      
Castillo Jacket Formal                          | 3             | 33            | 0                          | 0                            | Limited              | 1000            | 8700          |      
Castillo Jacket Ocean                           | 3             | 33            | 0                          | 0                            | Limited              | 1000            | 8700          |      
Chada Collar and Panniers Mahogany              | 1             | 28            | 0                          | 0                            | Full                 | 400             | 8700          |      
Chada Collar and Panniers Olive                 | 1             | 28            | 0                          | 0                            | Full                 | 400             | 8700          |      
Chada Collar and Panniers Sandalwood            | 1             | 28            | 0                          | 0                            | Full                 | 400             | 8700          |      
Chada Collar and Panniers Shale                 | 1             | 28            | 0                          | 0                            | Full                 | 400             | 8700          |      
Chada Collar and Panniers Spruce                | 1             | 28            | 0                          | 0                            | Full                 | 400             | 8700          |      
Clean and Clear Work Apron (01_01_01)           | 10            | 29            | 0                          | 0                            | Full                 | 1000            | 14335         |      
Clean and Clear Work Apron (01_02_01)           | 10            | 29            | 0                          | 0                            | Full                 | 1000            | 14335         |      
Clean and Clear Work Apron (01_03_01)           | 10            | 29            | 0                          | 0                            | Full                 | 1000            | 14335         |      
ClipVest Work Harness                           | 3             | 30            | 0                          | 0                            | Limited              | 2000            | 8700          |      
ClipVest Work Harness Aqua                      | 3             | 30            | 0                          | 0                            | Full                 | 2000            | 8700          |      
ClipVest Work Harness Black                     | 3             | 30            | 0                          | 0                            | Full                 | 2000            | 8700          |      
ClipVest Work Harness Blue                      | 3             | 30            | 0                          | 0                            | Full                 | 2000            | 8700          |      
ClipVest Work Harness Dark Green                | 3             | 30            | 0                          | 0                            | Full                 | 2000            | 8700          |      
ClipVest Work Harness Dark Red                  | 3             | 30            | 0                          | 0                            | Full                 | 2000            | 8700          |      
ClipVest Work Harness Green                     | 3             | 30            | 0                          | 0                            | Full                 | 2000            | 8700          |      
ClipVest Work Harness Grey                      | 3             | 30            | 0                          | 0                            | Full                 | 2000            | 8700          |      
ClipVest Work Harness Imperial                  | 3             | 30            | 0                          | 0                            | Full                 | 2000            | 8700          |      
ClipVest Work Harness Olive                     | 3             | 30            | 0                          | 0                            | Full                 | 2000            | 8700          |      
ClipVest Work Harness Orange                    | 3             | 30            | 0                          | 0                            | Full                 | 2000            | 8700          |      
ClipVest Work Harness Purple                    | 3             | 30            | 0                          | 0                            | Full                 | 2000            | 8700          |      
ClipVest Work Harness Red                       | 3             | 30            | 0                          | 0                            | Full                 | 2000            | 8700          |      
ClipVest Work Harness Seagreen                  | 3             | 30            | 0                          | 0                            | Full                 | 2000            | 8700          |      
ClipVest Work Harness Sienna                    | 3             | 30            | 0                          | 0                            | Full                 | 2000            | 8700          |      
ClipVest Work Harness Tan                       | 3             | 30            | 0                          | 0                            | Full                 | 2000            | 8700          |      
ClipVest Work Harness Twilight                  | 3             | 30            | 0                          | 0                            | Full                 | 2000            | 8700          |      
ClipVest Work Harness Violet                    | 3             | 30            | 0                          | 0                            | Full                 | 2000            | 8700          |      
ClipVest Work Harness White                     | 3             | 30            | 0                          | 0                            | Full                 | 2000            | 8700          |      
ClipVest Work Harness Yellow                    | 3             | 30            | 0                          | 0                            | Full                 | 2000            | 8700          |      
Coloma Coat Blue and Brick                      | -10           | 20            | 0                          | 0                            | Full                 | 1000            | 8700          |      
Coloma Coat Ice and Iron                        | -10           | 20            | 0                          | 0                            | Full                 | 1000            | 8700          |      
Coloma Coat Iron and Silver                     | -10           | 20            | 0                          | 0                            | Full                 | 1000            | 8700          |      
Coloma Coat Navy and Sage                       | -10           | 20            | 0                          | 0                            | Full                 | 1000            | 8700          |      
Coloma Coat Sage and Navy                       | -10           | 20            | 0                          | 0                            | Full                 | 1000            | 8700          |      
Cordimon Jacket                                 | 2             | 30            | 0                          | 0                            | Limited              | 3000            | 8700          |      
Cordimon Jacket "Voyager"                       | 2             | 30            | 0                          | 0                            | Full                 | 3000            | 8700          |      
Cordimon Jacket Aqua                            | 2             | 30            | 0                          | 0                            | Full                 | 3000            | 8700          |      
Cordimon Jacket Black                           | 2             | 30            | 0                          | 0                            | Full                 | 3000            | 8700          |      
Cordimon Jacket Blue                            | 2             | 30            | 0                          | 0                            | Full                 | 3000            | 8700          |      
Cordimon Jacket Dark Green                      | 2             | 30            | 0                          | 0                            | Full                 | 3000            | 8700          |      
Cordimon Jacket Dark Red                        | 2             | 30            | 0                          | 0                            | Full                 | 3000            | 8700          |      
Cordimon Jacket Green                           | 2             | 30            | 0                          | 0                            | Full                 | 3000            | 8700          |      
Cordimon Jacket Grey                            | 2             | 30            | 0                          | 0                            | Full                 | 3000            | 8700          |      
Cordimon Jacket Imperial                        | 2             | 30            | 0                          | 0                            | Full                 | 3000            | 8700          |      
Cordimon Jacket mT Edition                      | 2             | 30            | 0                          | 0                            | Full                 | 3000            | 8700          |      
Cordimon Jacket Olive                           | 2             | 30            | 0                          | 0                            | Full                 | 3000            | 8700          |      
Cordimon Jacket Orange                          | 2             | 30            | 0                          | 0                            | Full                 | 3000            | 8700          |      
Cordimon Jacket Purple                          | 2             | 30            | 0                          | 0                            | Full                 | 3000            | 8700          |      
Cordimon Jacket Red                             | 2             | 30            | 0                          | 0                            | Full                 | 3000            | 8700          |      
Cordimon Jacket Seagreen                        | 2             | 30            | 0                          | 0                            | Full                 | 3000            | 8700          |      
Cordimon Jacket Sienna                          | 2             | 30            | 0                          | 0                            | Full                 | 3000            | 8700          |      
Cordimon Jacket Tan                             | 2             | 30            | 0                          | 0                            | Full                 | 3000            | 8700          |      
Cordimon Jacket Twilight                        | 2             | 30            | 0                          | 0                            | Full                 | 3000            | 8700          |      
Cordimon Jacket Violet                          | 2             | 30            | 0                          | 0                            | Full                 | 3000            | 8700          |      
Cordimon Jacket White                           | 2             | 30            | 0                          | 0                            | Full                 | 3000            | 8700          |      
Cordimon Jacket Yellow                          | 2             | 30            | 0                          | 0                            | Full                 | 3000            | 8700          |      
Creese Copperhead Jacket                        | 2             | 32            | 0                          | 0                            | Full                 | 1000            | 24547         |      
Creese Jacket                                   | 2             | 32            | 0                          | 0                            | Full                 | 1000            | 24547         |      
Creese Skullsnap Jacket                         | 2             | 32            | 0                          | 0                            | Full                 | 1000            | 24547         |      
Creese Toxic Fog Jacket                         | 2             | 32            | 0                          | 0                            | Full                 | 1000            | 24547         |      
Cumulus Jacket Brown                            | -35           | 10            | 0                          | 0                            | Full                 | 10000           | 8700          |      
Cumulus Jacket Gray                             | -35           | 10            | 0                          | 0                            | Full                 | 10000           | 8700          |      
Cumulus Jacket Purple                           | -35           | 10            | 0                          | 0                            | Full                 | 10000           | 8700          |      
Cumulus Jacket Red                              | -35           | 10            | 0                          | 0                            | Full                 | 10000           | 8700          |      
Cumulus Jacket Teal                             | -35           | 10            | 0                          | 0                            | Full                 | 10000           | 8700          |      
Cumulus Jacket Yellow                           | -35           | 10            | 0                          | 0                            | Full                 | 10000           | 8700          |      
Daredevil Jacket                                | 1             | 29            | 0                          | 0                            | Limited              | 1000            | 8700          |      
Dash Apron Ellroy's                             | 10            | 29            | 0                          | 0                            | Full                 | 1000            | 14335         |      
Dash Apron Kel-To                               | 10            | 29            | 0                          | 0                            | Full                 | 1000            | 14335         |      
Dash Apron Whammer's                            | 10            | 29            | 0                          | 0                            | Full                 | 1000            | 14335         |      
Detara Jacket                                   | -10           | 28            | 0                          | 0                            | Full                 | 1000            | 8700          |      
Detara Jacket Calypso                           | -10           | 28            | 0                          | 0                            | Full                 | 1000            | 8700          |      
Detara Jacket Mandalay                          | -10           | 28            | 0                          | 0                            | Full                 | 1000            | 8700          |      
Detara Jacket Silvertusk                        | -10           | 28            | 0                          | 0                            | Full                 | 1000            | 8700          |      
Detara Jacket VIneland                          | -10           | 28            | 0                          | 0                            | Full                 | 1000            | 8700          |      
Duotone Duster                                  | 1             | 29            | 0                          | 0                            | Full                 | 2000            | 8700          |      
Duotone Duster (CitizenCon)                     | 1             | 29            | 0                          | 0                            | Full                 | 2000            | 8700          |      
DYL - jacket - name                             | 2             | 32            | 0                          | 0                            | Limited              | 1000            | 8700          |      
Esteril Lab Coat                                | 0             | 25            | 0                          | 0                            | Full                 | 2000            | 8700          |      
Esteril Lab Coat ASD Edition                    | 1             | 30            | 0                          | 0                            | Full                 | 2000            | 8700          |      
Faction Jacket Black                            | 0             | 30            | 0                          | 0                            | Full                 | 1000            | 8700          |      
Faction Jacket Green                            | 0             | 30            | 0                          | 0                            | Full                 | 1000            | 8700          |      
Faction Jacket Purple                           | 0             | 30            | 0                          | 0                            | Full                 | 1000            | 8700          |      
Faction Jacket Red                              | 0             | 30            | 0                          | 0                            | Full                 | 1000            | 8700          |      
Faction Jacket Teal                             | 0             | 30            | 0                          | 0                            | Full                 | 1000            | 8700          |      
Faction Jacket White                            | 0             | 30            | 0                          | 0                            | Full                 | 1000            | 8700          |      
Galen Surgical Scrub Top                        | 5             | 30            | 0                          | 0                            | Full                 | 400             | 8700          |      
Galen Surgical Scrub Top Honeycomb              | 5             | 30            | 0                          | 0                            | Full                 | 400             | 8700          |      
Galen Surgical Scrub Top Primrose               | 5             | 30            | 0                          | 0                            | Full                 | 400             | 8700          |      
Geoffrey Jacket                                 | 2             | 32            | 0                          | 0                            | Full                 | 1000            | 8700          |      
Giotto Jacket                                   | 1             | 30            | 0                          | 0                            | Full                 | 1000            | 8700          |      
Giotto Jacket Crusader Edition                  | 1             | 30            | 0                          | 0                            | Full                 | 1000            | 8700          |      
Giotto Jacket Crusader Edition Dark Blue        | 1             | 30            | 0                          | 0                            | Full                 | 1000            | 8700          |      
Giotto Jacket Crusader Edition Purple Pinstripe | 1             | 30            | 0                          | 0                            | Full                 | 1000            | 8700          |      
Giotto Jacket Crusader Edition Teal             | 1             | 30            | 0                          | 0                            | Full                 | 1000            | 8700          |      
Giotto Jacket Dark Blue                         | 1             | 30            | 0                          | 0                            | Full                 | 1000            | 8700          |      
Giotto Jacket Purple Pinstripe                  | 1             | 30            | 0                          | 0                            | Full                 | 1000            | 8700          |      
Giotto Jacket Teal                              | 1             | 30            | 0                          | 0                            | Full                 | 1000            | 8700          |      
GME 338-10 Medical Gown (01_01_01)              | 10            | 35            | 0                          | 0                            | Full                 | 400             | 8700          |      
GME 338-10 Medical Gown (01_01_02)              | 10            | 35            | 0                          | 0                            | Full                 | 400             | 8700          |      
GME 338-10 Medical Gown Honeycomb               | 10            | 35            | 0                          | 0                            | Full                 | 400             | 8700          |      
GME 338-10 Medical Gown Primrose                | 10            | 35            | 0                          | 0                            | Full                 | 400             | 8700          |      
Good Gift Sweater                               | 2             | 30            | 0                          | 0                            | Full                 | 1000            | 24547         |      
Grammercy Food Service Jacket                   | 2             | 32            | 0                          | 0                            | Limited              | 1000            | 8700          |      
Hercules Starlifter Flight Jacket               | 2             | 30            | 0                          | 0                            | Full                 | 2000            | 8700          |      
Horde Jacket                                    | 1             | 30            | 0                          | 0                            | Full                 | 2000            | 8700          |      
IndVest Jacket                                  | -1            | 29            | 0                          | 0                            | Limited              | 10000           | 8700          |      
IndVest Jacket "Pathfinder"                     | -1            | 29            | 0                          | 0                            | Full                 | 10000           | 8700          |      
IndVest Jacket Aqua                             | -1            | 29            | 0                          | 0                            | Full                 | 10000           | 8700          |      
IndVest Jacket Black                            | -1            | 29            | 0                          | 0                            | Full                 | 10000           | 8700          |      
IndVest Jacket Blue                             | -1            | 29            | 0                          | 0                            | Full                 | 10000           | 8700          |      
IndVest Jacket Dark Green                       | -1            | 29            | 0                          | 0                            | Full                 | 10000           | 8700          |      
IndVest Jacket Dark Red                         | -1            | 29            | 0                          | 0                            | Full                 | 10000           | 8700          |      
IndVest Jacket Green                            | -1            | 29            | 0                          | 0                            | Full                 | 10000           | 8700          |      
IndVest Jacket Grey                             | -1            | 29            | 0                          | 0                            | Full                 | 10000           | 8700          |      
IndVest Jacket Imperial                         | -1            | 29            | 0                          | 0                            | Full                 | 10000           | 8700          |      
IndVest Jacket mT Edition                       | -1            | 29            | 0                          | 0                            | Full                 | 10000           | 8700          |      
IndVest Jacket Olive                            | -1            | 29            | 0                          | 0                            | Full                 | 10000           | 8700          |      
IndVest Jacket Orange                           | -1            | 29            | 0                          | 0                            | Full                 | 10000           | 8700          |      
IndVest Jacket Purple                           | -1            | 29            | 0                          | 0                            | Full                 | 10000           | 8700          |      
IndVest Jacket Red                              | -1            | 29            | 0                          | 0                            | Full                 | 10000           | 8700          |      
IndVest Jacket Seagreen                         | -1            | 29            | 0                          | 0                            | Full                 | 10000           | 8700          |      
IndVest Jacket Sienna                           | -1            | 29            | 0                          | 0                            | Full                 | 10000           | 8700          |      
IndVest Jacket Tan                              | -1            | 29            | 0                          | 0                            | Full                 | 10000           | 8700          |      
IndVest Jacket Twilight                         | -1            | 29            | 0                          | 0                            | Full                 | 10000           | 8700          |      
IndVest Jacket Violet                           | -1            | 29            | 0                          | 0                            | Full                 | 10000           | 8700          |      
IndVest Jacket White                            | -1            | 29            | 0                          | 0                            | Full                 | 10000           | 8700          |      
IndVest Jacket Yellow                           | -1            | 29            | 0                          | 0                            | Full                 | 10000           | 8700          |      
Invictus Flight Jacket                          | 2             | 30            | 0                          | 0                            | Full                 | 2000            | 8700          |      
Invictus Flight Jacket (04_01_01)               | 2             | 30            | 0                          | 0                            | Full                 | 2000            | 8700          |      
Invictus Flight Jacket Steel                    | 2             | 30            | 0                          | 0                            | Full                 | 2000            | 8700          |      
item_Name_lna_vest_01_01_01                     | 2             | 32            | 0                          | 0                            | Limited              | 1000            | 24547         |      
Ixonia Armor Desert Camo                        | -80           | 110           | 26800                      | 145.8                        | Full                 | 8000            | 55000         |      
Ixonia Armor Verdant Steel                      | -80           | 110           | 26800                      | 145.8                        | Full                 | 8000            | 55000         |      
Kamar Jacket (02_01_01)                         | 2             | 32            | 0                          | 0                            | Full                 | 1000            | 8700          |      
Kamar Jacket (02_01_10)                         | 2             | 32            | 0                          | 0                            | Full                 | 1000            | 8700          |      
Kamar Jacket (02_02_01)                         | 2             | 32            | 0                          | 0                            | Full                 | 1000            | 8700          |      
Kamar Jacket (02_03_01)                         | 2             | 32            | 0                          | 0                            | Full                 | 1000            | 8700          |      
Kamar Jacket (02_04_01)                         | 2             | 32            | 0                          | 0                            | Full                 | 1000            | 8700          |      
Kamar Jacket Blue Striped                       | 2             | 32            | 0                          | 0                            | Full                 | 1000            | 8700          |      
Kamar Jacket Light Blue                         | 2             | 32            | 0                          | 0                            | Full                 | 1000            | 8700          |      
Kamar Jacket White and Turquoise                | 2             | 32            | 0                          | 0                            | Full                 | 1000            | 8700          |      
Kaswal Jacket Brick                             | -10           | 20            | 0                          | 0                            | Full                 | 1000            | 8700          |      
Kaswal Jacket Iron                              | -10           | 20            | 0                          | 0                            | Full                 | 1000            | 8700          |      
Kaswal Jacket Pine                              | -10           | 20            | 0                          | 0                            | Full                 | 1000            | 8700          |      
Kaswal Jacket Sand                              | -10           | 20            | 0                          | 0                            | Full                 | 1000            | 8700          |      
Kaswal Jacket Taupe                             | -10           | 20            | 0                          | 0                            | Full                 | 1000            | 8700          |      
Keystone Jacket Gold                            | -12           | 19            | 0                          | 0                            | Full                 | 1000            | 8700          |      
Keystone Jacket Onyx                            | -12           | 19            | 0                          | 0                            | Full                 | 1000            | 8700          |      
Keystone Jacket Red                             | -12           | 19            | 0                          | 0                            | Full                 | 1000            | 8700          |      
Keystone Jacket Silver                          | -12           | 19            | 0                          | 0                            | Full                 | 1000            | 8700          |      
Keystone Jacket Taupe                           | -12           | 19            | 0                          | 0                            | Full                 | 1000            | 8700          |      
Kutty Jacket                                    | 1             | 31            | 0                          | 0                            | Limited              | 1000            | 8700          |      
Kutty Jacket (Modified 9T)                      | 1             | 31            | 0                          | 0                            | Limited              | 1000            | 8700          |      
Lanxi Jacket Gray (03_01_01)                    | 2             | 29            | 0                          | 0                            | Limited              | 1000            | 8700          |      
Lanxi Jacket Gray (03_01_02)                    | 2             | 29            | 0                          | 0                            | Limited              | 1000            | 8700          |      
Lanxi Jacket Gray (03_01_03)                    | 2             | 29            | 0                          | 0                            | Limited              | 1000            | 8700          |      
Legion Jacket                                   | 2             | 32            | 0                          | 0                            | Full                 | 1000            | 8700          |      
Libio Jacket                                    | 1             | 30            | 0                          | 0                            | Limited              | 1000            | 8700          |      
Libio Jacket Aqua                               | 1             | 30            | 0                          | 0                            | Limited              | 1000            | 8700          |      
Libio Jacket Black                              | 1             | 30            | 0                          | 0                            | Limited              | 1000            | 8700          |      
Libio Jacket Blue                               | 1             | 30            | 0                          | 0                            | Limited              | 1000            | 8700          |      
Libio Jacket Dark Green                         | 1             | 30            | 0                          | 0                            | Limited              | 1000            | 8700          |      
Libio Jacket Dark Red                           | 1             | 30            | 0                          | 0                            | Limited              | 1000            | 8700          |      
Libio Jacket Green                              | 1             | 30            | 0                          | 0                            | Limited              | 1000            | 8700          |      
Libio Jacket Grey                               | 1             | 30            | 0                          | 0                            | Limited              | 1000            | 8700          |      
